     ,,HOYOSTOOL
AFR,,IMPORQUIR
ALFREDO ,,IMPORTADA ALEXIÑO
ALLERS,,INTEGRON STERIPAC
AQUILES ,,ITALDEC ORO-PLATA 
BIODENTALES,,IVAN PADILLA ORTHOD
BIOSALUD,,JORGE OMAR
BONDENT,,JOTA
CALIPSO HULE,,JULVIDENT
CARDENAS INSTRUM,,LA MUELA 
CENTRO - Fercho,,LARRY 
CENTRO 40mil,,MAKRODENT OSCAR JULIAN
CENTRO CRISTALERIA LA 13,,MARLENY DENTALES ID 
CENTRO CRISTALERIA LA 15,,MASDENTAL
CENTRO HOYOSTOOL,,MASTERDENT
CENTRO JOSE VISOR,,MDS SS WHITE 
CENTRO OTORGO,,MIGUEL BOGOTA 3M
CENTRO WASHINGTON,,MONICA SU CASA
CLAUDIA BRAS,,MULTILAB
CLAY,,NEW STETIC
D1,,ORGANIC NURIA 
DAZA,,OTORGO
DELTA,,OXXI
DENTAL LA U,,PERICO
DENTAL MARKET,,PLUSS DENT
DENTALES SUPER ,,PORTILLO
DENTMART BOGT,,PREMIUM
DENTOLINE,,PRODONT
DENTSPLAY,,PRODUSER
Dollar city,,PROQUIDENT 
DORA,,QUIMIPACK
DROGUERIA SAN JORGE,,QUIRUDENT
EMMA IVOCLAR,,RAMON
ESTERIPACK,,REPRESENT LASTRA
EUFAR,,SANDRA ALCOHOL
FGM,,SCOES CALIB OCLUSAL
GABRIEL VELASQUEZ,,SOCCIDENTALES
GAC ORTHODONCIA ,,TROPICALI SCOT
GUILLERMO VELEZ,,ULTRADENTAL
GUILLERMO VELEZ LA MEJOR ,,UPEGUI 
HECTOR FRESAS BOGT,,ZENDENT
