OJO NO USAR ESTE,referencias ,,,PEDIDO SUR ,PEDIDO NORTE,,INVENT SUR mar 21,INVENT NTE ,FECHA VCMTO,PRECIO COMPRA,     precio venta ,IVA,PRECIO MALTERO,%,VR PEDIDO 
abre bocas Umbrella,,,,0,0,Pluss Dent GAB VEL,0,0,,$11.053,$15.000,,,"0,36",$0
Abreboca  manual gancho DOBLE EXTREMO NEGRO,,,,0,0,IMPORTADA,,8,, $8.746,$30.000,19,,"2,43",$0
Abreboca  manual gancho DOBLE EXTREMO TRANSPARENTE,,,,0,0,IMPORTADA,,50,,$3.924,$30.000,,,"6,65",$0
Abreboca  manual gancho PEQUEÑO,,,,0,0,IMPORTADA,,100,,$1.712,$10.000,,,"4,84",$0
Abreboca AZUL Y ROJO AMARILLO,,,,0,0,ELVER LOZANO BOGOTA,,rojo 1 azul 1,,$4.500,$12.000,,,"1,67",$0
abreboca Con retractor adulto   ,,,,0,0,UPEGUI ,,BLANCO 43 NEGRO 10,,$16.900,$24.000,,,"0,42",$0
abreboca Con retractor PEDIATRICO ,,,,0,0,UPEGUI,,20,,$16.900,$24.000,,,"0,42",$0
Abreboca manual gancho GRANDE,,,,0,0,IMPORTADA,,50,, $1.427,$10.000,,,"6,01",$0
Abreboca sencillo adulto ,OXXI $ 11067 NISSI $7556,,,20,20,OXXI NISSI,,88,,$2.213,$8.000,,,"2,61",$44.268
Abreboca sencillo niño,OXXI $ 11067 NISSI $7557,,,10,0,OXXI NISSI,,26,,$2.213,$8.000,,,"2,61",$0
abreboca sin retractor ,,,,0,0,UPEGUI,,10,,$16.900,$24.000,,,"0,42",$0
abrebocas aclaramiento tipo optragate,,,,0,0,IMPORTADA,,58,,$4.602,$12.000,,,"1,61",$0
Accufilm Papel de articular  aqua film x 280 tiras,,,,0,0,La muela miguel,,1,,$325,$800,,,"1,46",$0
Accufilm Papel de articular CIRENE aqua film x 280 tiras,,,,0,0,La muela miguel,,,,$65.000,$105.000,,$90.000,"0,62",$0
Aceite 3 en 1 ,,,,0,,CENTRO HOYOSTOOL,,,,$3.808,$6.000,,,"0,58",$0
